Instance,Lambda,V,K,M*,OPT,Sec
CapEuclideo.100.50.95.2,95,100,50,25,2685,381
CapEuclideo.100.50.95.3,95,100,50,22,2649,361
CapEuclideo.100.50.95.4,95,100,50,25,3272,742
CapEuclideo.100.50.95.5,95,100,50,23,2995,2272
CapEuclideo.100.50.99.1,99,100,50,13,1313,136
CapEuclideo.100.50.99.2,99,100,50,14,1367,134
CapEuclideo.100.50.99.3,99,100,50,10,1146,14
CapEuclideo.100.50.99.4,99,100,50,16,2217,154
CapEuclideo.100.50.99.5,99,100,50,10,1475,52
CapEuclideo.100.100.1.1,1,100,100,100,168075,28
CapEuclideo.100.100.1.2,1,100,100,100,164651,16
CapEuclideo.100.100.1.3,1,100,100,100,160410,15
CapEuclideo.100.100.1.4,1,100,100,100,181984,14
CapEuclideo.100.100.1.5,1,100,100,100,160015,10
CapEuclideo.100.100.5.1,5,100,100,100,54900,30
CapEuclideo.100.100.5.2,5,100,100,100,53279,14
CapEuclideo.100.100.5.3,5,100,100,100,51671,18
CapEuclideo.100.100.5.4,5,100,100,100,58641,16
CapEuclideo.100.100.5.5,5,100,100,100,50902,9
CapEuclideo.100.100.7.1,7,100,100,85,23250,27
CapEuclideo.100.100.7.2,7,100,100,88,21961,42
CapEuclideo.100.100.7.3,7,100,100,85,21537,41
CapEuclideo.100.100.7.4,7,100,100,97,24555,34
CapEuclideo.100.100.7.5,7,100,100,100,22067,20
CapEuclideo.100.100.8.1,8,100,100,88,13673,701
CapEuclideo.100.100.8.2,8,100,100,88,12877,48
CapEuclideo.100.100.8.3,8,100,100,87,12642,61
CapEuclideo.100.100.8.4,8,100,100,94,14087,139
CapEuclideo.100.100.8.5,8,100,100,85,12854,28
CapEuclideo.100.100.9.1,9,100,100,59,6494,2545
CapEuclideo.100.100.9.2,9,100,100,60,6375,585
CapEuclideo.100.100.9.3,9,100,100,52,6063,442
CapEuclideo.100.100.9.4,9,100,100,62,6863,214
CapEuclideo.100.100.9.5,9,100,100,56,6415,746
CapEuclideo.100.100.95.1,95,100,100,34,3484,1186
CapEuclideo.100.100.95.2,95,100,100,31,3468,642
CapEuclideo.100.100.95.3,95,100,100,34,3491,5519
CapEuclideo.100.100.95.4,95,100,100,28,3532,476
CapEuclideo.100.100.95.5,95,100,100,33,3802,1873
CapEuclideo.100.100.99.1,99,100,100,15,1539,118
CapEuclideo.100.100.99.2,99,100,100,15,1554,233
CapEuclideo.100.100.99.3,99,100,100,13,1672,68
CapEuclideo.100.100.99.4,99,100,100,20,2168,361
CapEuclideo.100.100.99.5,99,100,100,21,2394,348
CapEuclideo.100.150.1.1,1,100,150,100,254921,28
CapEuclideo.100.150.1.2,1,100,150,100,249585,22
CapEuclideo.100.150.1.3,1,100,150,100,247800,19
CapEuclideo.100.150.1.4,1,100,150,100,261499,17
CapEuclideo.100.150.1.5,1,100,150,100,238058,12
CapEuclideo.100.150.5.1,5,100,150,100,80460,30
CapEuclideo.100.150.5.2,5,100,150,100,78721,21
CapEuclideo.100.150.5.3,5,100,150,100,77133,21
CapEuclideo.100.150.5.4,5,100,150,95,81415,34
CapEuclideo.100.150.5.5,5,100,150,94,73903,18
CapEuclideo.100.150.7.1,7,100,150,99,31977,84
CapEuclideo.100.150.7.2,7,100,150,100,31133,19
CapEuclideo.100.150.7.3,7,100,150,100,30574,25
CapEuclideo.100.150.7.4,7,100,150,100,32307,21
CapEuclideo.100.150.7.5,7,100,150,100,29984,12
CapEuclideo.100.150.8.1,8,100,150,95,17320,96
CapEuclideo.100.150.8.2,8,100,150,93,16500,23
CapEuclideo.100.150.8.3,8,100,150,93,16387,44
CapEuclideo.100.150.8.4,8,100,150,97,17202,21
CapEuclideo.100.150.8.5,8,100,150,90,16458,24
CapEuclideo.100.150.9.1,9,100,150,65,7358,794
